Row No,Timestamp,Open,High,Low,Close,Volume_.BTC.,Volume_.Currency.,Weighted_Price
2751395,1496176860,2223.999,2223.999,2218.54,2219.54,5.53807771,12291.32651,2219.421098
2751396,1496176920,2218.541,2224.99,2217.037,2224.99,1.82558341,4054.863274,2221.132845
2751397,1496176980,2221.388,2223,2217.04,2217.04,2.13685941,4746.896826,2221.43619
2751398,1496177040,2218.54,2223.2,2218.54,2219.001,1.03736994,2303.737573,2220.74834
2751399,1496177100,2223.2,2225,2213.514,2224.15,29.39636147,65197.90123,2217.890173
2751400,1496177160,2223.45,2225,2221.15,2225,0.81576717,1814.504149,2224.291704
2751401,1496177220,2224.999,2225,2217,2220.453,10.66490873,23655.9974,2218.115316
2751402,1496177280,2217.002,2220.453,2216.301,2216.301,2.80717373,6223.276613,2216.918941
2751403,1496177340,2216.301,2216.302,2213.187,2216.302,0.69260155,1533.988214,2214.820648
2751404,1496177400,2215.201,2216.302,2213.187,2213.187,0.30192578,668.8883329,2215.406491
2751405,1496177460,2214.701,2215.853,2214.701,2215.853,0.3041902,673.8894209,2215.355462
2751406,1496177520,2215.852,2220.453,2214.997,2215.698,8.79457232,19480.30112,2215.036777
2751407,1496177580,2217.914,2223.376,2217.914,2217.915,2.11945998,4709.182492,2221.878467
2751408,1496177640,2217.914,2222.95,2214.703,2222.949,2.12481764,4717.142758,2220.022401
2751409,1496177700,2222.95,2222.95,2220.132,2222,3.73869721,8304.184182,2221.143814
2751410,1496177760,2217.201,2222,2209.729,2221.999,3.57127034,7914.335217,2216.112045
2751411,1496177820,2220.134,2221.999,2218.639,2218.639,4.14398052,9199.307555,2219.92056
2751412,1496177880,2210.893,2219.234,2210.893,2218.534,0.50640059,1123.44419,2218.489101
2751413,1496177940,2218.534,2219.899,2209.757,2209.757,8.04218658,17793.35851,2212.502574
2751414,1496178000,2210,2211.158,2209.758,2211.158,2.78374744,6152.061094,2209.992547
2751415,1496178060,2219.888,2222,2219.888,2222,5.7732804,12820.34188,2220.63385
2751416,1496178120,2210.91,2219,2210.909,2219,0.12040579,266.9344501,2216.956927
2751417,1496178180,2210.909,2218,2210,2210,1.36755452,3023.293462,2210.72975
2751418,1496178240,2209.999,2210,2209.999,2210,2.76876614,6118.972769,2209.999856
2751419,1496178300,2210,2210.914,2210,2210.909,0.20471686,452.6102575,2210.908557
2751420,1496178360,2210.909,2217.999,2210.909,2213,4.35463303,9638.684497,2213.432092
2751421,1496178420,2212.8,2220.916,2212.8,2220.916,6.58115704,14601.37509,2218.663831
2751422,1496178480,2217.3,2217.3,2210.91,2217.3,1.43275333,3174.048459,2215.348862
2751423,1496178540,2215.001,2216.999,2210.909,2216.999,4.10887059,9090.893252,2212.504155
2751424,1496178600,2216.999,2217,2210.709,2215.999,1.95526904,4330.145571,2214.603455
2751425,1496178660,2216,2216,2203.945,2215.7,2.8194597,6239.392125,2212.974395
2751426,1496178720,2215.998,2218.168,2201.637,2218.167,1.46318009,3236.546162,2211.994398
2751427,1496178780,2216.449,2218,2208.506,2217.999,0.78920419,1746.441891,2212.915128
2751428,1496178840,2218,2218,2209.103,2217.999,3.37729068,7469.183393,2211.590325
2751429,1496178900,2217.099,2218.7,2216.001,2218.7,2.74847656,6095.16145,2217.650876
2751430,1496178960,2218.001,2219.998,2215.901,2217.999,2.57296574,5706.729219,2217.957717
2751431,1496179020,2217.998,2217.999,2215,2217.998,14.3535623,31826.90538,2217.35237
2751432,1496179080,2217.998,2224.401,2216.5,2224.401,13.69570683,30390.31413,2218.966462
2751433,1496179140,2220.805,2223,2218,2222.9,1.43921386,3198.709263,2222.539229
2751434,1496179200,2222.899,2222.9,2221.403,2221.403,0.53645304,1192.174381,2222.32757
2751435,1496179260,2221.202,2221.202,2214.304,2214.304,4.60013392,10196.89505,2216.651781
2751436,1496179320,2212.861,2212.861,2200,2210.002,5.53866236,12229.92382,2208.100626
2751437,1496179380,2200.01,2210.002,2200,2209.999,8.03822899,17709.06894,2203.105804
2751438,1496179440,2209.999,2209.999,2202.203,2208.948,3.43080653,7577.775892,2208.744745
2751439,1496179500,2202.203,2208.79,2195,2200,19.97597569,43940.37167,2199.66085
2751440,1496179560,2201,2205.976,2195,2200,19.70160647,43271.37564,2196.337426
2751441,1496179620,2199.998,2207.586,2188.001,2190.001,13.92058218,30518.28193,2192.313621
2751442,1496179680,2191.001,2195.109,2191.001,2195,0.63214844,1387.263551,2194.521829
2751443,1496179740,2193.6,2194.999,2191,2194.998,2.35747564,5173.695749,2194.591393
2751444,1496179800,2194.998,2195,2191.001,2194.9,5.73716948,12589.51803,2194.37792
2751445,1496179860,2194.9,2195,2191.001,2191.702,16.96997486,37194.39464,2191.77665
2751446,1496179920,2194.201,2194.201,2193.193,2193.193,0.68710757,1507.062524,2193.34292
2751447,1496179980,2193.193,2193.193,2191.003,2192.994,0.39563917,867.5474583,2192.774437
2751448,1496180040,2192.994,2192.995,2190,2192.547,15.23697941,33401.32738,2192.12263
2751449,1496180100,2192.547,2195,2189.003,2195,8.8757211,19476.43437,2194.349524
2751450,1496180160,2194,2194.45,2191.002,2193.9,6.8471453,15008.84961,2191.986434
2751451,1496180220,2193.9,2193.9,2188.001,2192,6.76816514,14826.44042,2190.61446
2751452,1496180280,2191.999,2192.45,2190.559,2192.45,5.24205648,11489.7313,2191.836609
